,SVM,RF,GB
0,0.6690489279824079,0.6910390324354041,0.7289719626168224
1,0.7289719626168224,0.7531610775151182,0.6558548653106102
2,0.5912589334799341,0.6421110500274876,0.5409565695437054
3,0.7216705607476636,0.7792056074766355,0.758177570093458
4,0.6699766355140186,0.6471962616822431,0.5963785046728972
5,0.6903440621531631,0.6942286348501665,0.6387347391786904
6,0.7383462819089901,0.7586015538290788,0.7092119866814651
7,0.6576026637069922,0.6243063263041065,0.6248612652608213
8,0.7530521642619311,0.644284128745838,0.6298557158712541
9,0.586015538290788,0.6542730299667037,0.6509433962264151
