,SVM,RF,GB
0,0.9411764705882353,0.7058823529411765,0.7647058823529411
1,0.8823529411764706,0.8235294117647058,0.7647058823529411
2,0.7647058823529411,0.5882352941176471,0.6470588235294118
3,0.625,0.4375,0.5625
4,0.5625,0.5,0.5625
5,0.7647058823529411,0.7058823529411765,0.5294117647058824
6,0.7058823529411765,0.6470588235294118,0.5294117647058824
7,0.5294117647058824,0.6470588235294118,0.7647058823529411
8,0.5294117647058824,0.6470588235294118,0.7647058823529411
9,0.6470588235294118,0.6470588235294118,0.5294117647058824
